,고객번호,H1,H2,H3,H4,성별,연령대,거주지역
109,00110,5533636,10005087,6392191,5066981,M,60세이상,055
110,00111,1062160,1423193,1438582,1278096,F,60세이상,460
111,00112,18490950,14816654,18511827,49061825,F,60세이상,210
112,00113,23250862,30489659,24949332,16633121,F,60세이상,016
113,00114,6212805,7688035,6902323,3135884,F,60세이상,100
114,00115,11009220,18301547,24897191,14568400,F,60세이상,055
115,00116,2226518,1876045,2197348,1866686,F,60세이상,060
116,00117,7851284,19413088,8442320,9110473,F,60세이상,055
117,00118,16895220,37146710,24769160,26471820,F,60세이상,460
118,00119,18417122,16404850,21306466,10855772,M,60세이상,410
119,00120,76539640,54796370,52304566,61141842,F,60세이상,016
120,00121,4421610,3308727,5944172,6442207,F,60세이상,460
121,00122,7085737,6973853,14868228,11618062,F,60세이상,024
122,00123,2542410,2763158,2930237,2447233,F,60세이상,055
123,00124,10585300,7745720,10741350,10369730,F,60세이상,016
124,00125,5086070,3162240,4466080,2945541,F,60세이상,060
125,00126,4958434,12152664,14472146,9114165,F,60세이상,055
126,00127,1794470,1766894,1687650,1865060,F,60세이상,460
127,00128,2223210,3505615,1561779,1503826,F,60세이상,060
128,00129,1629435,1716307,1686647,2187820,F,60세이상,340
129,00130,17848306,12366380,11239631,4433933,F,60세이상,013
130,00131,9205290,7521141,8196560,7902644,F,60세이상,016
131,00132,2769124,3770725,3954536,1646724,F,60세이상,100
132,00133,4233018,5303828,6601230,8507971,M,60세이상,100
133,00134,24479781,15684230,33998670,31052783,F,60세이상,100
134,00135,4855450,3613888,2175850,2362830,F,60세이상,100
135,00136,3328150,9098730,4065150,14431150,F,60세이상,100
136,00137,20794597,17180614,23086208,52269330,F,60세이상,055
137,00138,10263470,14740470,13192790,10356172,M,60세이상,500
138,00139,11612940,20489220,6234084,10609018,M,60세이상,087
139,00140,68087330,71901806,45054220,64016800,F,60세이상,065
140,00141,1299941,1130413,1421011,1913258,F,60세이상,033
141,00142,242690,196350,104000,324750,F,60세이상,100
142,00143,1449750,1683772,2064231,2164319,F,60세이상,036
143,00144,23078425,26472719,11551154,9175530,F,60세이상,072
144,00145,13278805,62527672,19793082,44661224,F,60세이상,055
145,00146,28444740,22498140,30913450,19312900,F,60세이상,460
146,00147,24056593,25894330,29263875,18189204,M,60세이상,500
147,00148,1028103,1509869,1603009,1525116,F,60세이상,065
148,00149,4637967,9621288,7082099,6236669,F,60세이상,024
149,00150,10320657,5823848,6130581,2036634,F,60세이상,055
150,00151,33096734,15359376,10691178,23842663,M,60세이상,024
151,00152,7780259,6769231,10206650,8133040,F,60세이상,013
152,00153,1976212,4903906,2403553,1681567,F,60세이상,016
153,00154,34604059,3495825,2908960,30715305,M,60세이상,460
154,00155,11078240,16819190,12155431,15643950,M,60세이상,610
155,00156,26913120,27866310,66290100,29380000,F,60세이상,340
156,00157,2797045,3567557,2799794,4923720,F,60세이상,060
157,00158,1690460,3378984,3522544,3203654,M,60세이상,460
158,00159,23523390,27078655,51169805,42107760,F,60세이상,460
159,00160,5179314,4121379,6391162,4837192,F,60세이상,100
160,00161,54670131,55029420,32397271,29541636,F,60세이상,100
161,00162,13995386,20435990,22375963,13393491,F,60세이상,340
162,00163,3056622,2643332,2517822,3253508,F,60세이상,047
163,00164,41200283,17073707,21976571,29432305,M,60세이상,060
164,00165,7349140,13668166,9049705,10752269,M,60세이상,100
165,00166,8379080,9696623,6656556,9691271,M,60세이상,100
166,00167,8248450,17691190,7796700,10531270,F,60세이상,100
167,00168,19468036,20389576,23430626,21945232,F,60세이상,065
168,00169,2635597,713888,1830568,3216088,F,60세이상,210
169,00170,3132565,3366079,3452928,4458671,F,60세이상,460
170,00171,3675630,11405665,5035380,8281715,F,60세이상,055
171,00172,5979720,5357358,5343879,5890083,F,60세이상,055
172,00173,2518384,3178679,3689860,2671293,F,60세이상,100
173,00174,386500,0,38700,0,F,60세이상,055
174,00175,6983134,7223238,10519166,10281177,F,60세이상,055
175,00176,1825330,2479589,2218214,1592794,F,60세이상,060
176,00177,28993591,19865518,22431368,22722753,F,60세이상,100
177,00178,4802374,5574672,4620074,5293815,F,60세이상,055
178,00179,11672022,11466021,14869875,11585780,F,60세이상,100
179,00180,9995560,9875590,20223630,13297830,F,60세이상,049
180,00181,9752750,17582350,16084160,24441354,F,60세이상,460
181,00182,15135810,22345381,22520152,22326271,F,60세이상,460
182,00183,3321860,3760915,3757678,2618115,F,60세이상,100
183,00184,19471807,9238674,4249746,4848930,F,60세이상,100
184,00185,950855,3946837,4123656,1904519,F,60세이상,100
185,00186,34101346,14158429,19445969,10092759,F,60세이상,045
186,00187,8577914,3263610,3599770,4874584,F,60세이상,460
187,00188,3245153,3756560,3749266,4619320,F,60세이상,055
188,00189,13334640,47087270,21727200,17172070,F,60세이상,100
189,00190,11430940,8346610,18023650,11710723,M,60세이상,100
190,00191,23006650,20410870,13159020,31827690,F,60세이상,060
191,00192,6151812,14918956,6028830,15142640,F,60세이상,055
192,00193,2488707,2532937,2446150,2901543,F,60세이상,055
193,00194,3790619,3782778,3767895,3771145,F,60세이상,055
194,00195,1362443,1508219,1854557,2349661,M,60세이상,100
195,00196,8746283,7777702,7092248,7664028,F,60세이상,016
196,00197,8441283,16918186,33245609,38729004,F,60세이상,036
197,00198,3546657,3215770,3310875,4245003,F,60세이상,460
198,00199,3593690,5644718,5209772,4266244,F,60세이상,410
199,00200,3393276,4070508,3353906,1817109,F,60세이상,210
200,00201,30310044,44913580,16911340,31081940,F,60세이상,060
201,00202,17560215,24792257,21529160,38401737,F,60세이상,060
202,00203,1742198,1784172,1815632,1424741,F,60세이상,100
203,00204,6277121,6434661,4530229,7030878,F,60세이상,610
204,00205,8233587,7248649,5130701,4472484,F,60세이상,075
205,00206,3258895,4435139,3855629,4942707,M,60세이상,100
206,00207,1591960,2387201,2065914,2005007,F,60세이상,055
207,00208,26618470,32116090,10608440,786840,F,60세이상,100
208,00209,5228550,5490118,4468200,2731814,F,60세이상,055
209,00210,1147749,1744395,1562632,1747991,F,60세이상,210
210,00211,2469004,3994680,6372070,8753360,F,60세이상,043
211,00212,5046871,5918370,5892645,3680446,F,60세이상,460
212,00213,9034143,9692108,12970726,16185776,F,60세이상,055
213,00214,5125736,3375738,6210696,6242436,F,60세이상,060
214,00215,2829636,3209399,3969470,4281024,F,60세이상,082
215,00216,3028944,3132443,3055189,2459156,F,60세이상,100
216,00217,2834680,2577910,3483700,5515680,F,60세이상,210
217,00218,36241501,68473840,31440086,76693773,F,60세이상,460
218,00219,12331400,14551121,12420691,11536878,F,60세이상,460
219,00220,4286493,4509821,4909477,5622500,M,60세이상,100
220,00221,2181689,3242820,2706721,2581188,F,60세이상,100
221,00222,16305500,16705567,20617053,22460238,F,60세이상,060
222,00223,9551730,30725340,62293380,34021760,M,60세이상,045
223,00224,40762629,45928968,42561047,47866307,M,60세이상,100
224,00225,33698427,38042760,56036320,40703100,F,60세이상,460
225,00226,3044822,2415854,3172392,2489302,M,60세이상,047
226,00227,1346696,2279937,1172924,1159183,F,60세이상,024
227,00228,2422076,2299642,3086767,4940649,F,60세이상,055
228,00229,19122400,14459050,19727530,20062940,F,60세이상,100
229,00230,3882710,2455170,4651920,3267930,F,60세이상,087
230,00231,2794139,3723403,2124847,1918035,F,60세이상,055
231,00232,2471600,2732536,2285180,2407500,F,60세이상,030
232,00233,2671463,6652592,6574311,4826454,F,60세이상,055
233,00234,4395512,5804680,7627676,15191180,M,60세이상,100
234,00235,9295722,11429945,14088740,6765897,F,60세이상,060
235,00236,2417468,1343912,1577471,3515181,F,60세이상,100
236,00237,12835968,14085202,15406717,24393055,F,60세이상,072
237,00238,3054690,7525070,3651660,2418020,F,60세이상,100
238,00239,49030290,29852924,40081810,39538280,F,60세이상,210
239,00240,10241530,3684310,1521190,5217470,M,60세이상,100
240,00241,9619320,19089440,24930770,16485870,M,60세이상,100
241,00242,1618971,2484771,2835313,2918838,M,60세이상,100
242,00243,1415392,1615180,1748155,2972499,M,60세이상,100
243,00244,1990300,4861110,13120120,19026580,F,60세이상,100
244,00245,5341984,9506677,5984454,6291338,F,60세이상,060
245,00246,8201390,26795409,17431108,19960060,M,60세이상,100
246,00247,5968195,8042857,5825479,4280123,F,60세이상,060
247,00248,8531661,4874290,9847154,11501788,M,60세이상,100
248,00249,51086600,19664852,26626700,45340860,F,60세이상,460
249,00250,30939187,33184350,28169993,31398316,F,60세이상,460
250,00251,15510199,10332110,13758915,14201311,F,60세이상,100
251,00252,2071400,3033470,3678050,2994246,F,60세이상,016
252,00253,28138760,15424550,10239790,23724971,M,60세이상,100
253,00254,20269832,36633980,52990340,20088010,F,60세이상,043
254,00255,50439858,28715186,26771222,19262910,F,60세이상,460
255,00256,45922269,76618021,27940270,78983298,F,60세이상,460
256,00257,4095952,4286135,3799503,3975392,F,60세이상,055
257,00258,60237560,42700240,103111780,186105160,F,60세이상,043
258,00259,14168661,9472409,8114578,4303390,M,60세이상,049
259,00260,4066464,3950153,1742837,3161354,F,60세이상,055
260,00261,13344530,6330061,6265400,4719910,M,60세이상,460
261,00262,10937490,7669403,11410830,6797370,F,60세이상,060
262,00263,1713370,1675700,1608933,1888648,F,60세이상,100
263,00264,2132346,4352996,2802101,2539658,F,60세이상,210
264,00265,68090270,43164889,42876601,48097700,F,60세이상,460
265,00266,8979537,13296093,10304711,9825715,F,60세이상,016
266,00267,11191600,17205140,11683750,10255630,F,60세이상,100
267,00268,16197554,12819715,12804488,13153552,F,60세이상,060
268,00269,22547365,18232178,19146147,14328970,F,60세이상,060
269,00270,2003181,2049864,2649043,2267019,F,60세이상,049
270,00271,18090680,14438770,8868870,39595480,F,60세이상,100
271,00272,7787062,6287087,6588026,10735823,F,60세이상,100
272,00273,19616860,16380478,18245545,18340730,M,60세이상,460
273,00274,1060148,1183634,2062824,1714894,F,60세이상,100
274,00275,13562677,17005272,11812738,13923766,M,60세이상,055
275,00276,2159647,2634326,4744308,1748445,M,60세이상,039
276,00277,4308410,4745048,6039601,4187222,F,60세이상,460
277,00278,1546724,1592737,1375713,915499,M,60세이상,210
278,00279,11132490,15202000,16713320,11733660,F,60세이상,100
279,00280,15718370,26447450,13417644,13436209,M,60세이상,016
280,00281,18872459,18787174,20168476,32904228,M,60세이상,024
281,00282,11110437,13395490,10744414,15902387,F,60세이상,100
282,00283,48212860,28176510,30426610,33985070,F,60세이상,100
283,00284,515037,570784,883732,944678,M,60세이상,100
284,00285,976196,1448882,1697096,1734730,F,60세이상,024
285,00286,7987690,8855517,8953330,5882600,F,60세이상,049
286,00287,2681116,1520175,1861890,3029937,F,60세이상,100
287,00288,8369745,9529319,9425989,8778894,F,60세이상,055
288,00289,4163330,4952830,4610010,4008250,M,60세이상,049
289,00290,1508126,4389843,3458885,3021953,F,60세이상,055
290,00291,2523834,3121608,2492558,4430225,M,60세이상,036
291,00292,14435360,25805650,22365040,22473609,F,60세이상,055
292,00293,3255131,5731975,6242325,9485985,F,60세이상,055
293,00294,7568940,20456150,12962230,21729720,F,60세이상,460
294,00295,3605530,7414340,17693345,5331944,M,60세이상,043
295,00296,29402410,12092425,26053011,10712040,F,60세이상,340
296,00297,11292380,18419539,10749260,23839535,F,60세이상,072
297,00298,14560497,40299937,53975041,40293946,F,60세이상,100
298,00299,8775240,4681580,4314988,2978620,F,60세이상,075
299,00300,6078606,5730502,6496631,5714138,F,60세이상,100
300,00301,10166460,8442633,11993700,10082200,F,60세이상,460
301,00302,9466399,12950781,7242205,8842480,F,60세이상,060
302,00303,9455380,4121043,11184457,4302670,F,60세이상,055
303,00304,5020660,31254800,64937180,43182256,F,60세이상,610
304,00305,23762142,33962082,37983233,28828762,F,60세이상,100
305,00306,8713220,14238850,16228750,21891090,M,60세이상,100
306,00307,17185630,19028456,14503032,5795090,M,60세이상,460
307,00308,7830620,9826969,3983591,3433462,F,60세이상,045
308,00309,26102590,23487790,15908718,19345950,F,60세이상,460
309,00310,7822559,3144118,4814153,5006277,F,60세이상,055
310,00311,12315476,9593448,11457590,7363736,F,60세이상,210
311,00312,2451273,6445846,4858142,1523013,F,60세이상,100
312,00313,27381628,15198103,15712148,14964126,M,60세이상,024
313,00314,42355830,18438170,11957270,64284100,F,60세이상,060
314,00315,28262436,67549126,43217406,100245107,M,60세이상,100
315,00316,17967823,16733099,7015225,100593710,F,60세이상,055
316,00317,9000626,8596164,3991721,12653415,F,60세이상,055
317,00318,6781740,10059870,4525770,5398940,F,60세이상,079
318,00319,18764880,11527790,12990870,12888780,F,60세이상,500
319,00320,5465610,4393574,7148441,4515857,F,60세이상,100
320,00321,29044233,20703576,14928861,13839827,F,60세이상,055
321,00322,6087459,6298715,6423613,8255278,M,60세이상,055
322,00323,22107366,19354262,17909351,20240113,F,60세이상,100
323,00324,16766886,26499068,19286762,25400838,F,60세이상,100
324,00325,16932197,10809942,5726120,6690029,F,60세이상,055
325,00326,11807745,6221814,16846230,10024249,M,60세이상,440
326,00327,20328930,16292304,29032360,14254980,F,60세이상,460
327,00328,7567920,17178260,13938540,12806830,F,60세이상,027
328,00329,21642732,16049808,9200150,16565342,F,60세이상,055
329,00330,289220,217890,4047139,3678802,M,60세이상,055
330,00331,2997167,2348390,2732241,2965279,F,60세이상,055
331,00332,11592854,11353513,13359792,9879623,F,60세이상,052
332,00333,6500463,8777845,9890492,8849345,F,60세이상,055
333,00334,6237730,5921630,8936300,15236730,F,60세이상,060
334,00335,18040761,30457825,34238820,28651711,F,60세이상,055
335,00336,4757962,2555867,3491909,3547290,F,60세이상,440
336,00337,25617503,59633410,42614686,40051054,M,60세이상,210
337,00338,4184570,3054317,4915576,3945416,F,60세이상,100
338,00339,6989267,6838969,7166699,7272432,F,60세이상,055
339,00340,9251760,10773720,10568400,6087370,F,60세이상,100
340,00341,10703580,36451820,39374170,33938350,F,60세이상,460
341,00342,2650703,2742737,2830359,2448907,F,60세이상,049
342,00343,12425260,8819484,15105224,12205287,F,60세이상,013
343,00344,11396834,8797778,4097572,6044374,F,60세이상,460
344,00345,18557103,36512890,11020980,11305830,F,60세이상,100
345,00346,1908970,2631330,1886760,5076200,F,60세이상,016
346,00347,5274730,4412720,4432035,3723544,F,60세이상,460
347,00348,3128682,4094817,3431722,2218913,M,60세이상,055
348,00349,21478684,22644097,14941275,14962051,F,60세이상,016
349,00350,2736712,2888089,2760079,7532457,F,60세이상,055
350,00351,18131835,10438418,12963340,1796270,F,60세이상,100
351,00352,40498487,29169660,56384820,58390200,F,60세이상,024
352,00353,2325132,2736920,3906621,2905209,F,60세이상,340
353,00354,2572796,2550973,3015460,2928499,F,60세이상,055
354,00355,6961487,51994979,15465592,4514425,F,60세이상,210
355,00356,6209070,22832905,12257826,10936370,F,60세이상,055
356,00357,2797987,2651024,3345610,2321977,F,60세이상,100
357,00358,9844580,15714390,16921710,26367620,F,60세이상,100
358,00359,7856822,9437238,9396795,5994297,F,60세이상,055
359,00360,6332950,6856602,6068221,9940398,M,60세이상,055
360,00361,24988158,16563281,13391168,45588903,F,60세이상,210
361,00362,3551001,2453105,5575641,5672763,F,60세이상,055
362,00363,86135450,41735750,44408760,12057450,F,60세이상,100
363,00364,3618048,4842525,4443858,3570609,F,60세이상,055
364,00365,57806981,24834355,9890748,8713655,M,60세이상,055
365,00366,1718985,2067400,1910096,2424961,M,60세이상,270
366,00367,29633001,33573361,22559173,24513623,F,60세이상,055
367,00368,13138054,12892821,10722744,23030249,F,60세이상,055
368,00369,16852920,10580350,18889480,11366400,M,60세이상,340
369,00370,3133623,2616062,2845607,3353158,F,60세이상,055
370,00371,3745813,3845788,4549958,4132858,F,60세이상,100
371,00372,3096192,3114469,2638757,2443416,F,60세이상,100
372,00373,6087484,13515187,38360543,36452695,F,60세이상,055
373,00374,16438560,11984890,13292794,10087780,F,60세이상,460
374,00375,51808978,26878585,50629560,37169300,F,60세이상,047
375,00376,956911,1256153,1328067,1299052,F,60세이상,024
376,00377,22026100,24581036,17873250,18722200,F,60세이상,460
377,00378,17040851,13884912,14423981,27436760,F,60세이상,016
378,00379,4270070,4184390,8927280,9048910,F,60세이상,016
379,00380,1976917,1947105,1451053,1455447,F,60세이상,340
380,00381,4400720,9533410,8826060,4279500,F,60세이상,060
381,00382,21689376,16627882,26793030,9333879,M,60세이상,055
382,00383,11692110,17673740,16351070,14823620,M,60세이상,065
383,00384,1624924,1618029,3018785,2600176,F,60세이상,100
384,00385,2720047,3114874,1860133,2505436,F,60세이상,016
385,00386,10449653,12132178,4869200,13842610,F,60세이상,055
386,00387,21628462,36021005,24184747,32774310,F,60세이상,055
387,00388,56797586,52133451,41389990,41078433,F,60세이상,055
388,00389,4811305,3325862,4819574,4798428,M,60세이상,100
389,00390,2605149,3395855,2877308,3000456,F,60세이상,016
390,00391,49863390,23260811,7067663,46423459,F,60세이상,055
391,00392,1272066,1789877,1747609,5680489,F,60세이상,055
392,00393,23286500,19034580,39960640,12428000,F,60세이상,610
393,00394,4530044,2715846,4880836,3517060,F,60세이상,016
394,00395,2939850,2807453,5418617,4506911,F,60세이상,055
395,00396,3503318,3807856,3350109,4133569,F,60세이상,055
396,00397,4236090,5995164,3933616,6424685,M,60세이상,055
397,00398,19031951,20898188,27298635,30073566,F,60세이상,410
398,00399,40712140,33302190,42090250,34756170,F,60세이상,065
399,00400,37511378,39207742,29548230,35534110,F,60세이상,100
400,00401,47452630,25302380,43518840,18463600,M,60세이상,360
401,00402,7806125,6184045,9831117,9467558,F,60세이상,060
402,00403,1732158,1764024,2458306,2248709,M,60세이상,049
403,00404,12144524,9235095,10989944,22712810,F,60세이상,100
404,00405,8803340,6194860,4299270,3313192,F,60세이상,100
405,00406,1846052,2074829,2309663,3148470,M,60세이상,210
406,00407,34084110,46646910,22239370,36282655,M,60세이상,410
407,00408,150035940,233920790,191834530,123421420,M,60세이상,043
408,00409,25449158,19328480,20144360,13767570,F,60세이상,100
409,00410,983634,1928910,2037767,2157577,F,60세이상,100
410,00411,19762690,15520300,11379110,10698260,F,60세이상,016
411,00412,17020175,13090883,10353734,7895395,F,60세이상,075
412,00413,9490473,24235345,14961401,34750554,F,60세이상,460
413,00414,17048935,23823238,20139650,18243760,F,60세이상,210
414,00415,1715418,2168741,3261871,1993533,F,60세이상,410
415,00416,60939420,36827072,16253060,32916740,M,60세이상,055
416,00417,11501230,9626130,8926310,10598080,F,60세이상,100
417,00418,3561591,6114875,3997718,4199499,F,60세이상,039
418,00419,14068070,14653970,9109490,14101860,F,60세이상,460
419,00420,5440610,7848875,9119544,5327448,F,60세이상,540
420,00421,22226587,18951244,21459249,20728448,F,60세이상,055
421,00422,4445150,3736481,4328704,2121724,F,60세이상,100
422,00423,13751300,13953540,5671840,12108085,F,60세이상,087
423,00424,793768,643960,815280,979290,M,60세이상,016
424,00425,4930628,3113655,4051485,4946985,F,60세이상,033
425,00426,9227140,12090196,13559310,16790660,F,60세이상,210
426,00427,2999934,5871040,7766320,5826770,F,60세이상,100
427,00428,46143540,24270910,27137470,69889900,F,60세이상,100
428,00429,19465861,7843693,11599093,11873901,F,60세이상,060
429,00430,20111660,24938120,10337440,44000500,F,60세이상,100
430,00431,2921280,4329105,4119247,6890680,F,60세이상,016
431,00432,21884506,9287365,9609480,6244070,F,60세이상,024
432,00433,17805150,17736280,38843730,9642970,M,60세이상,460
433,00434,11042985,13492684,10338768,16925011,F,60세이상,060
434,00435,10880360,3135390,5319590,4785640,F,60세이상,010
435,00436,17894660,22679960,16469805,22022788,M,60세이상,069
436,00437,106420,1011094,1978880,1931542,F,60세이상,065
437,00438,25279943,28722956,12966040,11328556,F,60세이상,055
438,00439,1759443,1629953,2876883,2922975,F,60세이상,033
439,00440,21431460,20686174,12700189,14587300,F,60세이상,460
440,00441,10133486,6931927,5868438,23949800,F,60세이상,460
441,00442,7078788,7344403,9133856,9186420,F,60세이상,049
442,00443,16879522,34329830,27149570,24678654,F,60세이상,100
443,00444,11851297,48816400,22695115,63070290,M,60세이상,100
444,00445,2076763,1931039,1834750,2570685,F,60세이상,100
445,00446,4090285,3807586,4828609,5689677,F,60세이상,055
446,00447,4482420,4037853,6731900,15462716,M,60세이상,055
447,00448,23274758,24068080,12788295,14674019,F,60세이상,060
448,00449,6773765,18646176,12412154,37743490,F,60세이상,055
449,00450,29401208,28732630,23466993,60691099,F,60세이상,055
450,00451,6831857,7658218,6003370,5937308,M,60세이상,460
451,00452,1022754,4902813,4460707,5180127,F,60세이상,060
452,00453,27226281,10409590,6915614,16614222,M,60세이상,049
453,00454,2909786,3966114,3463444,4367444,F,60세이상,055
454,00455,48630169,29108378,27129444,23438648,F,60세이상,036
455,00456,4905507,7255469,6691499,46679440,F,60세이상,055
456,00457,44418832,41790507,40091234,27466713,F,60세이상,016
457,00458,2568081,2839092,2916367,3401869,F,60세이상,055
458,00459,6705800,9220260,7109370,6998090,F,60세이상,100
459,00460,10136265,12572180,6600920,0,M,60세이상,210
460,00461,1860249,2588655,2328979,2748531,F,60세이상,460
461,00462,14708900,27829801,16126910,12809379,F,60세이상,100
462,00463,12981400,19415680,9469030,18602060,F,60세이상,460
463,00464,5608900,4246488,5944023,4566778,F,60세이상,410
464,00465,6161033,4236708,5383880,5715989,M,60세이상,055
